epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,556.021,0.83676,1.38161,0.98778,0.93881,0.9139,0.95649,0.76269,0.74594,1.2758,0.95755,0.00066323,0.00066323,0.00066323
2,1113.11,0.82531,0.88305,0.98689,0.94,0.9279,0.96065,0.76914,0.70856,0.95322,0.96702,0.00131673,0.00131673,0.00131673
3,1646.55,0.81323,0.742,0.98457,0.95776,0.92414,0.97545,0.81098,0.63633,0.56382,0.94246,0.00195703,0.00195703,0.00195703
4,2176.93,0.8103,0.65701,0.98882,0.95981,0.9357,0.97192,0.80311,0.64441,0.49529,0.95092,0.0019406,0.0019406,0.0019406
5,2716.56,0.77407,0.59354,0.97319,0.95392,0.94828,0.97357,0.80708,0.65273,0.46619,0.95389,0.0019208,0.0019208,0.0019208
6,3249.03,0.76288,0.53439,0.96591,0.94263,0.95286,0.98096,0.80978,0.63611,0.44521,0.94024,0.001901,0.001901,0.001901
7,3777.01,0.75924,0.52886,0.9628,0.95286,0.95057,0.97707,0.7989,0.67429,0.43198,0.95844,0.0018812,0.0018812,0.0018812
8,4305.97,0.74245,0.50635,0.96237,0.95211,0.97022,0.98484,0.80939,0.66631,0.40771,0.94914,0.0018614,0.0018614,0.0018614
9,4840.78,0.73553,0.48396,0.95602,0.97759,0.93417,0.97923,0.8251,0.64017,0.38072,0.94007,0.0018416,0.0018416,0.0018416
10,5398.19,0.72504,0.47289,0.95423,0.97627,0.96729,0.98294,0.82194,0.64183,0.37853,0.93655,0.0018218,0.0018218,0.0018218
11,5969.6,0.74257,0.48008,0.95894,0.97899,0.94933,0.98507,0.82449,0.62485,0.37054,0.94206,0.001802,0.001802,0.001802
12,6535.49,0.7271,0.46644,0.95622,0.97467,0.96506,0.98655,0.82724,0.64556,0.37904,0.93906,0.0017822,0.0017822,0.0017822
13,7083.57,0.72503,0.46805,0.95241,0.95292,0.95768,0.98304,0.80871,0.71692,0.40609,0.9702,0.0017624,0.0017624,0.0017624
14,7615.56,0.70825,0.44951,0.94606,0.96518,0.9558,0.98302,0.83968,0.59578,0.36615,0.93114,0.0017426,0.0017426,0.0017426
15,8147.07,0.71099,0.44697,0.94805,0.97304,0.95611,0.98244,0.82693,0.63862,0.35404,0.95221,0.0017228,0.0017228,0.0017228
16,8686.18,0.69924,0.42455,0.94054,0.97786,0.96929,0.9866,0.83101,0.63954,0.34521,0.9467,0.001703,0.001703,0.001703
17,9228.8,0.70552,0.43212,0.95092,0.94335,0.96571,0.97997,0.82596,0.62198,0.36288,0.94419,0.0016832,0.0016832,0.0016832
18,9760.68,0.66922,0.42027,0.94328,0.96227,0.96708,0.97778,0.83623,0.60972,0.35328,0.93472,0.0016634,0.0016634,0.0016634
19,10293.7,0.69766,0.41739,0.94404,0.97853,0.97649,0.98657,0.84919,0.60506,0.3332,0.93719,0.0016436,0.0016436,0.0016436
20,10827.5,0.6881,0.4159,0.94296,0.96715,0.95925,0.98471,0.84297,0.59868,0.34562,0.932,0.0016238,0.0016238,0.0016238
21,11358.2,0.67629,0.40938,0.93754,0.96406,0.96688,0.98343,0.8434,0.60289,0.33177,0.93613,0.001604,0.001604,0.001604
22,11891.4,0.67767,0.40344,0.94005,0.97008,0.96865,0.984,0.8604,0.57263,0.32458,0.92852,0.0015842,0.0015842,0.0015842
23,12420.6,0.67717,0.39985,0.94654,0.96896,0.97872,0.98689,0.8352,0.6091,0.32881,0.93823,0.0015644,0.0015644,0.0015644
24,12949,0.68166,0.40686,0.94237,0.97595,0.96395,0.98685,0.85233,0.58884,0.33082,0.92573,0.0015446,0.0015446,0.0015446
25,13476.7,0.6827,0.40898,0.93278,0.97026,0.97161,0.98566,0.83442,0.60176,0.32871,0.93551,0.0015248,0.0015248,0.0015248
26,14004.7,0.67954,0.39926,0.93831,0.96628,0.95298,0.98217,0.84307,0.58848,0.32295,0.93251,0.001505,0.001505,0.001505
27,14531.9,0.66307,0.39159,0.93555,0.95522,0.96955,0.98464,0.84503,0.57768,0.32517,0.93163,0.0014852,0.0014852,0.0014852
28,15059.4,0.66127,0.38792,0.93004,0.96892,0.97743,0.98865,0.8532,0.58436,0.31272,0.92995,0.0014654,0.0014654,0.0014654
29,15587.7,0.65423,0.38395,0.92794,0.97613,0.96395,0.98189,0.84134,0.6029,0.32056,0.93506,0.0014456,0.0014456,0.0014456
30,16115.5,0.66366,0.38258,0.9319,0.96703,0.97649,0.98829,0.84914,0.58011,0.32103,0.92842,0.0014258,0.0014258,0.0014258
31,16644.1,0.65026,0.37595,0.92566,0.97174,0.95611,0.98464,0.85499,0.57034,0.31022,0.9306,0.001406,0.001406,0.001406
32,17171.6,0.6558,0.36924,0.92571,0.9641,0.96805,0.98376,0.85562,0.55786,0.30895,0.92687,0.0013862,0.0013862,0.0013862
33,17700.2,0.66377,0.37301,0.93598,0.96486,0.97649,0.98356,0.84695,0.58699,0.31759,0.92752,0.0013664,0.0013664,0.0013664
34,18227.5,0.63362,0.36933,0.92743,0.97278,0.96865,0.98757,0.85647,0.56903,0.304,0.92478,0.0013466,0.0013466,0.0013466
35,18755.4,0.65435,0.37344,0.93117,0.96863,0.9678,0.98667,0.85433,0.58992,0.3117,0.93478,0.0013268,0.0013268,0.0013268
36,19283.4,0.63286,0.3547,0.92473,0.97184,0.96238,0.98568,0.86465,0.57179,0.31143,0.92799,0.001307,0.001307,0.001307
37,19810.2,0.63982,0.3567,0.92013,0.9686,0.97022,0.98801,0.85059,0.59996,0.30313,0.9294,0.0012872,0.0012872,0.0012872
38,20338.5,0.63593,0.3594,0.92226,0.97335,0.97302,0.98994,0.86602,0.57696,0.30112,0.9245,0.0012674,0.0012674,0.0012674
39,20866.1,0.63283,0.35626,0.91867,0.97185,0.97414,0.98768,0.85435,0.57318,0.30434,0.92966,0.0012476,0.0012476,0.0012476
40,21401.2,0.64457,0.36444,0.92852,0.97185,0.97416,0.98991,0.84634,0.60214,0.30643,0.93039,0.0012278,0.0012278,0.0012278
41,21938.6,0.64114,0.35299,0.92835,0.97797,0.9741,0.98978,0.86912,0.56976,0.29884,0.92467,0.001208,0.001208,0.001208
42,22468.4,0.62576,0.35311,0.92011,0.97536,0.97179,0.98964,0.86743,0.55359,0.29151,0.92259,0.0011882,0.0011882,0.0011882
43,22995.9,0.6345,0.35327,0.92383,0.96471,0.98538,0.98881,0.85735,0.59021,0.30992,0.92708,0.0011684,0.0011684,0.0011684
44,23525.4,0.6324,0.35033,0.9225,0.96493,0.97649,0.98775,0.86405,0.55653,0.29282,0.92261,0.0011486,0.0011486,0.0011486
45,24055.3,0.61778,0.34627,0.91845,0.97098,0.97335,0.98549,0.86606,0.55901,0.30222,0.92365,0.0011288,0.0011288,0.0011288
46,24583.1,0.61636,0.34141,0.91539,0.97656,0.97649,0.98566,0.86482,0.56837,0.28698,0.92061,0.001109,0.001109,0.001109
47,25110.6,0.64081,0.35162,0.92414,0.9787,0.97179,0.98346,0.85979,0.56279,0.2891,0.92151,0.0010892,0.0010892,0.0010892
48,25638,0.62312,0.33439,0.91363,0.97648,0.97612,0.9842,0.86821,0.55835,0.28302,0.92257,0.0010694,0.0010694,0.0010694
49,26165.8,0.61707,0.33152,0.91432,0.97437,0.97806,0.98824,0.87083,0.55306,0.28271,0.92797,0.0010496,0.0010496,0.0010496
50,26693.7,0.62834,0.33885,0.92156,0.97164,0.97962,0.98638,0.85859,0.58236,0.29702,0.93499,0.0010298,0.0010298,0.0010298
51,27221.3,0.62058,0.3359,0.92408,0.9753,0.97335,0.98562,0.86811,0.5586,0.28527,0.92008,0.00101,0.00101,0.00101
52,27749.9,0.61665,0.33636,0.91171,0.97338,0.97416,0.9867,0.86457,0.55812,0.29015,0.92865,0.0009902,0.0009902,0.0009902
53,28277.8,0.61625,0.33086,0.91728,0.97336,0.96708,0.98801,0.86073,0.55088,0.28334,0.92209,0.0009704,0.0009704,0.0009704
54,28805.3,0.61491,0.32469,0.91444,0.97849,0.97649,0.98739,0.86185,0.55774,0.28533,0.92073,0.0009506,0.0009506,0.0009506
55,29336.7,0.60533,0.32945,0.91671,0.97674,0.97649,0.9876,0.87225,0.54946,0.27959,0.91789,0.0009308,0.0009308,0.0009308
56,29867.7,0.61028,0.32312,0.9131,0.9828,0.98536,0.99103,0.8672,0.55415,0.27192,0.9213,0.000911,0.000911,0.000911
57,30395.3,0.60239,0.3262,0.90947,0.98107,0.97454,0.98581,0.86325,0.56457,0.29136,0.92897,0.0008912,0.0008912,0.0008912
58,30922.9,0.6153,0.33204,0.91668,0.97276,0.97492,0.98915,0.87248,0.56036,0.27726,0.92071,0.0008714,0.0008714,0.0008714
