epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,31451.1,0.60198,0.32088,0.91442,0.98097,0.96965,0.98724,0.86271,0.55216,0.28281,0.92073,0.0008516,0.0008516,0.0008516
60,31978.6,0.59367,0.32057,0.91364,0.96589,0.97658,0.99024,0.87541,0.53652,0.26514,0.91702,0.0008318,0.0008318,0.0008318
61,32505.8,0.5918,0.31584,0.90617,0.96761,0.98325,0.99,0.87294,0.54471,0.27702,0.91746,0.000812,0.000812,0.000812
62,33033,0.58677,0.31187,0.90696,0.97345,0.97703,0.99031,0.87521,0.5412,0.26554,0.91922,0.0007922,0.0007922,0.0007922
63,33564.4,0.58054,0.30787,0.90112,0.96431,0.9739,0.98875,0.86925,0.5547,0.27741,0.91929,0.0007724,0.0007724,0.0007724
64,34091.6,0.59153,0.31395,0.90918,0.9644,0.97652,0.99039,0.87695,0.5454,0.26801,0.91559,0.0007526,0.0007526,0.0007526
65,34620.1,0.59608,0.31701,0.9139,0.9688,0.97342,0.98738,0.87282,0.54562,0.27422,0.92103,0.0007328,0.0007328,0.0007328
66,35147.6,0.58673,0.3124,0.90575,0.97279,0.97022,0.98841,0.87281,0.55263,0.27916,0.92457,0.000713,0.000713,0.000713
67,35675.5,0.57222,0.3076,0.90037,0.96445,0.97791,0.98863,0.87048,0.54925,0.2719,0.92201,0.0006932,0.0006932,0.0006932
68,36204.2,0.59118,0.30823,0.90773,0.96748,0.97909,0.99017,0.8749,0.53967,0.27313,0.91643,0.0006734,0.0006734,0.0006734
69,36732.3,0.58231,0.30916,0.91012,0.98148,0.96865,0.9904,0.87328,0.54261,0.2739,0.91773,0.0006536,0.0006536,0.0006536
70,37260.5,0.57912,0.29978,0.90706,0.97799,0.97496,0.98965,0.86938,0.55613,0.26852,0.91913,0.0006338,0.0006338,0.0006338
71,37788.7,0.57895,0.29935,0.90353,0.97852,0.97022,0.98835,0.87417,0.53361,0.26824,0.91718,0.000614,0.000614,0.000614
72,38322.3,0.57594,0.3,0.90284,0.97595,0.97022,0.98899,0.87323,0.54406,0.27109,0.92497,0.0005942,0.0005942,0.0005942
73,38849.7,0.57084,0.30302,0.90438,0.978,0.97179,0.98894,0.87329,0.54121,0.26469,0.91563,0.0005744,0.0005744,0.0005744
74,39378.1,0.57541,0.30047,0.90361,0.97955,0.97492,0.9895,0.87629,0.52937,0.26001,0.9152,0.0005546,0.0005546,0.0005546
75,39905.6,0.58184,0.30126,0.90558,0.97657,0.98006,0.98996,0.87784,0.5425,0.25828,0.91425,0.0005348,0.0005348,0.0005348
76,40432.8,0.56108,0.28906,0.905,0.97796,0.98119,0.99141,0.8867,0.52285,0.25438,0.90991,0.000515,0.000515,0.000515
77,40961.6,0.56963,0.29775,0.90571,0.97659,0.98083,0.99018,0.88248,0.53585,0.26011,0.91192,0.0004952,0.0004952,0.0004952
78,41494.9,0.56381,0.29159,0.90323,0.98112,0.97716,0.99073,0.88073,0.53197,0.25772,0.91417,0.0004754,0.0004754,0.0004754
79,42029.7,0.56113,0.28621,0.89059,0.97605,0.97962,0.98933,0.88071,0.52844,0.26055,0.91271,0.0004556,0.0004556,0.0004556
80,42559.4,0.57738,0.29294,0.90431,0.97095,0.97806,0.98732,0.87872,0.53303,0.2605,0.91567,0.0004358,0.0004358,0.0004358
81,43087.6,0.5463,0.28381,0.89496,0.97655,0.97888,0.98756,0.87202,0.54246,0.26582,0.91219,0.000416,0.000416,0.000416
82,43616.2,0.55583,0.29618,0.9006,0.97656,0.97958,0.98965,0.88155,0.53217,0.25886,0.91101,0.0003962,0.0003962,0.0003962
83,44145.2,0.54092,0.27747,0.89999,0.97563,0.98276,0.9886,0.88283,0.53411,0.25654,0.91477,0.0003764,0.0003764,0.0003764
84,44675.5,0.55219,0.29117,0.89748,0.97474,0.97806,0.99013,0.87809,0.53379,0.2583,0.91111,0.0003566,0.0003566,0.0003566
85,45203.1,0.54913,0.28418,0.89128,0.97601,0.97806,0.99057,0.88183,0.52942,0.2545,0.91576,0.0003368,0.0003368,0.0003368
86,45731.1,0.55595,0.27841,0.90524,0.97605,0.97649,0.98809,0.88576,0.5284,0.25195,0.91183,0.000317,0.000317,0.000317
87,46258.7,0.53914,0.27413,0.88993,0.9766,0.98136,0.98972,0.88119,0.53366,0.25472,0.91871,0.0002972,0.0002972,0.0002972
88,46787.3,0.55711,0.28358,0.89899,0.97658,0.98047,0.98998,0.88104,0.523,0.25473,0.91125,0.0002774,0.0002774,0.0002774
89,47315.4,0.54767,0.27996,0.89227,0.98168,0.97649,0.98967,0.88012,0.5363,0.2563,0.91457,0.0002576,0.0002576,0.0002576
90,47843.4,0.53376,0.27146,0.89174,0.98419,0.9759,0.99036,0.88272,0.52687,0.25467,0.91454,0.0002378,0.0002378,0.0002378
91,48368.3,0.50426,0.24644,0.8815,0.98105,0.97353,0.99089,0.87826,0.52812,0.25349,0.91586,0.000218,0.000218,0.000218
92,48891,0.49623,0.24211,0.88036,0.97652,0.97649,0.99094,0.88135,0.52468,0.25339,0.91229,0.0001982,0.0001982,0.0001982
93,49418.1,0.49549,0.24043,0.87691,0.98728,0.97289,0.991,0.87933,0.53838,0.2509,0.91372,0.0001784,0.0001784,0.0001784
94,49941.6,0.49655,0.23791,0.87517,0.97803,0.97697,0.99069,0.88208,0.52648,0.24899,0.91204,0.0001586,0.0001586,0.0001586
95,50465.5,0.48841,0.23589,0.8768,0.9805,0.97649,0.99045,0.88113,0.53589,0.24974,0.91997,0.0001388,0.0001388,0.0001388
96,50989.4,0.4889,0.23512,0.87214,0.98264,0.97582,0.99089,0.87868,0.53466,0.25161,0.91987,0.000119,0.000119,0.000119
97,51512.6,0.4823,0.23506,0.87085,0.97945,0.97806,0.9907,0.88173,0.52955,0.25093,0.91621,9.92e-05,9.92e-05,9.92e-05
98,52036.2,0.4819,0.22728,0.8752,0.98361,0.97649,0.99077,0.88535,0.51971,0.24939,0.91147,7.94e-05,7.94e-05,7.94e-05
99,52559.6,0.48131,0.23274,0.87653,0.98575,0.97592,0.99049,0.882,0.52856,0.25233,0.91415,5.96e-05,5.96e-05,5.96e-05
100,53083.9,0.47298,0.22919,0.86474,0.98427,0.97649,0.99041,0.88332,0.52532,0.25085,0.91385,3.98e-05,3.98e-05,3.98e-05
