epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18196,0.61867,0.34117,0.9176,0.9778,0.96667,0.98901,0.85622,0.56225,0.28646,0.92764,0.0011882,0.0011882,0.0011882
43,18616.3,0.61867,0.3446,0.92205,0.97658,0.98052,0.98469,0.86015,0.55908,0.28638,0.92396,0.0011684,0.0011684,0.0011684
44,19036.9,0.62555,0.33651,0.921,0.97802,0.97638,0.98629,0.86494,0.55498,0.2875,0.92373,0.0011486,0.0011486,0.0011486
45,19463.9,0.613,0.33608,0.91528,0.9677,0.97806,0.98734,0.86429,0.56339,0.29177,0.92621,0.0011288,0.0011288,0.0011288
46,19893.7,0.60905,0.33342,0.91627,0.96933,0.97179,0.98862,0.86434,0.56133,0.28482,0.92391,0.001109,0.001109,0.001109
47,20314.6,0.62654,0.34034,0.92184,0.97652,0.97763,0.9856,0.86102,0.54733,0.27752,0.91927,0.0010892,0.0010892,0.0010892
48,20736.4,0.61013,0.32592,0.90964,0.96735,0.97507,0.98697,0.85958,0.56166,0.29142,0.92388,0.0010694,0.0010694,0.0010694
49,21158,0.601,0.32516,0.9117,0.97108,0.97806,0.99023,0.86644,0.56911,0.27853,0.92748,0.0010496,0.0010496,0.0010496
50,21580.2,0.61396,0.33038,0.91917,0.97749,0.97492,0.98821,0.86378,0.56762,0.28057,0.92783,0.0010298,0.0010298,0.0010298
51,22001.5,0.60838,0.32977,0.91732,0.97983,0.97022,0.9902,0.87219,0.56204,0.27593,0.91776,0.00101,0.00101,0.00101
52,22423.6,0.60178,0.32456,0.90673,0.96274,0.9721,0.9871,0.86844,0.54909,0.27611,0.92237,0.0009902,0.0009902,0.0009902
53,22845.3,0.60153,0.32373,0.9121,0.96758,0.97492,0.98691,0.86661,0.55634,0.27519,0.92335,0.0009704,0.0009704,0.0009704
54,23266.5,0.59904,0.31229,0.90874,0.97184,0.97962,0.98878,0.87083,0.54866,0.26156,0.92083,0.0009506,0.0009506,0.0009506
55,23688.6,0.59859,0.31868,0.91506,0.96894,0.97787,0.98802,0.86974,0.55411,0.28841,0.92593,0.0009308,0.0009308,0.0009308
56,24109.4,0.59329,0.31212,0.90734,0.97449,0.97962,0.98907,0.87429,0.5411,0.26636,0.91856,0.000911,0.000911,0.000911
57,24530,0.57984,0.30703,0.90499,0.97496,0.97656,0.99124,0.86863,0.54332,0.27521,0.92531,0.0008912,0.0008912,0.0008912
58,24950.9,0.59879,0.31951,0.91327,0.97974,0.96865,0.98823,0.87544,0.54508,0.2674,0.91595,0.0008714,0.0008714,0.0008714
59,25372.8,0.58721,0.3107,0.90967,0.97554,0.97962,0.99106,0.86723,0.55273,0.27594,0.92314,0.0008516,0.0008516,0.0008516
